AUDIT DE MATCHING - Evangelion 64
======================================================================

FUNCIONES CON DIFERENCIAS:
----------------------------------------------------------------------


FUNCIONES CON MATCH:
----------------------------------------------------------------------
0x015688 | func_800AAA88                  |  548 bytes
0x0158AC | func_800AACAC                  |  284 bytes
0x0159C8 | func_800AADC8                  |  536 bytes
0x015BE0 | func_800AAFE0                  |  148 bytes
0x015C74 | func_800AB074                  |  228 bytes
0x015D58 | func_800AB158                  |  244 bytes
0x015E4C | func_800AB24C                  |  540 bytes
0x016068 | func_800AB468                  |  208 bytes
0x016138 | func_800AB538                  |  184 bytes
0x0161F0 | func_800AB5F0                  |  204 bytes
0x0163CC | func_800AB7CC                  |   16 bytes
0x0163DC | func_800AB7DC                  |   88 bytes
0x016434 | func_800AB834                  |  112 bytes
0x0164A4 | func_800AB8A4                  |   48 bytes
0x0164D4 | func_800AB8D4                  | 6308 bytes
0x017D80 | func_800AD180                  |  244 bytes
0x017E80 | func_800AD280                  |  200 bytes
0x017F48 | func_800AD348                  |  100 bytes
0x017FAC | func_800AD3AC                  |  720 bytes
0x01827C | func_800AD67C                  |  296 bytes
0x0184F0 | func_800AD8F0                  |  196 bytes
0x0185B4 | func_800AD9B4                  |  100 bytes
0x018618 | func_800ADA18                  |  144 bytes
0x0186A8 | func_800ADAA8                  |  192 bytes
0x018770 | func_800ADB70                  |   36 bytes
0x0187A0 | func_800ADBA0                  |   72 bytes
0x0187F0 | func_800ADBF0                  |   56 bytes
0x018830 | func_800ADC30                  |   56 bytes
0x018870 | func_800ADC70                  |   60 bytes
0x0188B0 | func_800ADCB0                  |   36 bytes
0x0188E0 | func_800ADCE0                  |   28 bytes
0x0188FC | func_800ADCFC                  |   32 bytes
0x018920 | func_800ADD20                  |   56 bytes
0x018960 | func_800ADD60                  |  108 bytes
0x0189D0 | func_800ADDD0                  |   28 bytes
0x0189EC | func_800ADDEC                  |   48 bytes
0x018A1C | func_800ADE1C                  |   28 bytes
0x018A40 | func_800ADE40                  |  332 bytes
0x018B8C | func_800ADF8C                  |  648 bytes
0x018E14 | func_800AE214                  |   44 bytes
0x018E40 | func_800AE240                  |   48 bytes
0x018E70 | func_800AE270                  |  592 bytes
0x0190C0 | func_800AE4C0                  |  128 bytes
0x019140 | func_800AE540                  |  280 bytes
0x019258 | func_800AE658                  |  204 bytes
0x019324 | func_800AE724                  |  128 bytes
0x0193A4 | func_800AE7A4                  |  180 bytes
0x019458 | func_800AE858                  |   88 bytes
0x0194B0 | func_800AE8B0                  |   96 bytes
0x019510 | func_800AE910                  |  112 bytes
0x019580 | func_800AE980                  |  112 bytes
0x0195F0 | func_800AE9F0                  |  140 bytes
0x01967C | func_800AEA7C                  |  136 bytes
0x019704 | func_800AEB04                  |   60 bytes
0x019740 | func_800AEB40                  |   40 bytes
0x019768 | func_800AEB68                  |   36 bytes
0x01978C | func_800AEB8C                  |   12 bytes
0x019798 | func_800AEB98                  |   92 bytes
0x0197F4 | func_800AEBF4                  |   36 bytes
0x019818 | func_800AEC18                  |   40 bytes
0x019840 | func_800AEC40                  |   48 bytes
0x019870 | func_800AEC70                  |   92 bytes
0x0198CC | func_800AECCC                  |  132 bytes
0x019950 | func_800AED50                  |    8 bytes
0x019958 | func_800AED58                  |   12 bytes
0x019964 | func_800AED64                  |   12 bytes
0x019970 | func_800AED70                  |   12 bytes
0x01997C | func_800AED7C                  |    8 bytes
0x019984 | func_800AED84                  |    8 bytes
0x01998C | func_800AED8C                  |   12 bytes
0x019998 | func_800AED98                  |  100 bytes
0x0199FC | func_800AEDFC                  |  120 bytes
0x019A74 | func_800AEE74                  |   12 bytes
0x019A80 | func_800AEE80                  |  100 bytes
0x019AE4 | func_800AEEE4                  |  128 bytes
0x019B64 | func_800AEF64                  |  152 bytes
0x019BFC | func_800AEFFC                  |  752 bytes
0x019EEC | func_800AF2EC                  | 1356 bytes
0x01A438 | func_800AF838                  |  124 bytes
0x01A4B4 | func_800AF8B4                  |  340 bytes
0x01A608 | func_800AFA08                  |  268 bytes
0x01A714 | func_800AFB14                  |  112 bytes
0x01A784 | func_800AFB84                  |  476 bytes
0x01A960 | func_800AFD60                  |   28 bytes
0x01A97C | func_800AFD7C                  |  184 bytes
0x01AA34 | func_800AFE34                  |   88 bytes
0x01AA8C | func_800AFE8C                  |  100 bytes
0x01AAF0 | func_800AFEF0                  |  196 bytes
0x01ABB4 | func_800AFFB4                  |  276 bytes
